,shortName,sector,industry,country,market,2022-07-18 00:00:00,2022-07-19 00:00:00,2022-07-20 00:00:00,2022-07-21 00:00:00,2022-07-22 00:00:00,2022-07-25 00:00:00,2022-07-26 00:00:00,2022-07-27 00:00:00,2022-07-28 00:00:00,2022-07-29 00:00:00,2022-08-01 00:00:00,2022-08-02 00:00:00,2022-08-03 00:00:00,2022-08-04 00:00:00,2022-08-05 00:00:00,2022-08-08 00:00:00,2022-08-09 00:00:00,2022-08-10 00:00:00,2022-08-11 00:00:00,2022-08-12 00:00:00,2022-08-15 00:00:00,2022-08-16 00:00:00,2022-08-17 00:00:00,2022-08-18 00:00:00
11,Carnival Corporation,Consumer Cyclical,Travel Services,United States,us_market,9.649999618530273,10.359999656677246,11.09000015258789,9.850000381469727,9.260000228881836,9.180000305175781,8.5,8.850000381469727,9.100000381469727,9.0600004196167,8.920000076293945,9.350000381469727,9.789999961853027,9.75,9.819999694824219,10.010000228881836,9.470000267028809,10.34000015258789,10.539999961853027,10.720000267028809,10.710000038146973,11.1899995803833,10.5600004196167,
12,Banco Bradesco Sa,Financial Services,Banks—Regional,Brazil,us_market,3.059999942779541,3.130000114440918,3.0999999046325684,3.130000114440918,3.059999942779541,3.190000057220459,3.1600000858306885,3.25,3.309999942779541,3.319999933242798,3.309999942779541,3.299999952316284,3.359999895095825,3.4200000762939453,3.569999933242798,3.5799999237060547,3.630000114440918,3.7100000381469727,3.700000047683716,3.7899999618530273,3.809999942779541,3.799999952316284,3.799999952316284,
13,ADYEN NV UNSPON ADS EACH REP 0.,Technology,Software—Infrastructure,Netherlands,us_market,15.670000076293945,16.270000457763672,16.329999923706055,17.06999969482422,16.559999465942383,17.0,15.760000228881836,17.200000762939453,17.559999465942383,18.020000457763672,18.110000610351562,17.84000015258789,18.290000915527344,18.690000534057617,17.959999084472656,18.559999465942383,18.239999771118164,19.100000381469727,19.079999923706055,19.200000762939453,18.940000534057617,18.360000610351562,18.510000228881836,
14,Nu Holdings Ltd.,Financial Services,Banks—Diversified,Brazil,us_market,3.890000104904175,4.070000171661377,4.619999885559082,4.53000020980835,4.21999979019165,4.159999847412109,3.7899999618530273,4.039999961853027,4.210000038146973,4.210000038146973,4.050000190734863,4.090000152587891,4.449999809265137,4.670000076293945,4.489999771118164,4.75,4.25,4.420000076293945,4.079999923706055,4.25,4.679999828338623,5.519999980926514,5.079999923706055,
15,"AMC Entertainment Holdings, Inc",Communication Services,Entertainment,United States,us_market,16.540000915527344,16.360000610351562,17.520000457763672,17.0,15.5,14.90999984741211,14.029999732971191,14.479999542236328,14.579999923706055,14.5600004196167,15.369999885559082,16.860000610351562,18.209999084472656,18.65999984741211,22.18000030517578,23.959999084472656,22.450000762939453,23.670000076293945,25.459999084472656,24.440000534057617,24.209999084472656,24.809999465942383,21.360000610351562,
16,"Krispy Kreme, Inc.",Consumer Defensive,Grocery Stores,United States,us_market,14.186004638671875,14.515215873718262,14.694785118103027,14.545144081115723,14.46533489227295,14.605000495910645,14.369999885559082,14.350000381469727,14.289999961853027,14.279999732971191,14.380000114440918,14.4399995803833,14.5,14.470000267028809,14.350000381469727,14.520000457763672,14.470000267028809,14.5,14.479999542236328,14.789999961853027,14.649999618530273,14.520000457763672,12.760000228881836,
17,"Codiak BioSciences, Inc.",Healthcare,Biotechnology,United States,us_market,2.7799999713897705,2.6600000858306885,2.6500000953674316,2.700000047683716,2.569999933242798,2.619999885559082,2.5899999141693115,2.700000047683716,2.630000114440918,2.619999885559082,2.559999942779541,2.430000066757202,2.430000066757202,2.549999952316284,2.390000104904175,2.450000047683716,2.2899999618530273,2.390000104904175,2.2899999618530273,2.390000104904175,2.4600000381469727,2.299999952316284,2.309999942779541,
18,Sportradar Group AG,Technology,Software—Application,Switzerland,us_market,8.0600004196167,8.380000114440918,8.729999542236328,8.609999656677246,8.470000267028809,8.979999542236328,8.640000343322754,9.239999771118164,9.25,9.609999656677246,9.170000076293945,9.800000190734863,10.079999923706055,10.039999961853027,10.649999618530273,10.609999656677246,10.579999923706055,10.829999923706055,11.479999542236328,12.289999961853027,12.239999771118164,12.0,13.390000343322754,
19,Mind Medicine (MindMed) Inc.,Healthcare,Biotechnology,Canada,us_market,0.7009999752044678,0.6949999928474426,0.7599999904632568,0.7599999904632568,0.703000009059906,0.6990000009536743,0.6859999895095825,0.6919999718666077,0.6919999718666077,0.6949999928474426,0.6600000262260437,0.6880000233650208,0.7070000171661377,0.7020000219345093,0.6169999837875366,0.5899999737739563,0.5799999833106995,0.6520000100135803,0.6499999761581421,0.7260000109672546,0.699999988079071,0.6800000071525574,0.7490000128746033,
20,Euronav NV,Energy,Oil & Gas Midstream,Belgium,us_market,12.850000381469727,13.3100004196167,13.199999809265137,13.4399995803833,13.0,13.329999923706055,13.229999542236328,14.029999732971191,13.470000267028809,13.550000190734863,14.319999694824219,14.5600004196167,14.520000457763672,14.319999694824219,14.470000267028809,15.239999771118164,15.5,15.369999885559082,16.040000915527344,16.0,15.729999542236328,15.84000015258789,16.709999084472656,
